Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date
Feature,SCRUM-8,10007,UseCase,Shreyash Patel,712020:e4f4db32-97c3-4bb5-94bd-d9c59f3721b2,Shreyash Patel,712020:e4f4db32-97c3-4bb5-94bd-d9c59f3721b2,Highest,Done,Done,17/Jun/25 9:30 PM,18/Jun/25 11:31 PM,19/Jun/25 12:00 AM
Feature,SCRUM-1,10000,Documentations ,Shreyash Patel,712020:e4f4db32-97c3-4bb5-94bd-d9c59f3721b2,Shreyash Patel,712020:e4f4db32-97c3-4bb5-94bd-d9c59f3721b2,Medium,Done,Done,17/Jun/25 8:20 PM,18/Jun/25 11:30 PM,19/Jun/25 12:00 AM
Feature,SCRUM-4,10003,Implementation ,Shreyash Patel,712020:e4f4db32-97c3-4bb5-94bd-d9c59f3721b2,Shreyash Patel,712020:e4f4db32-97c3-4bb5-94bd-d9c59f3721b2,Medium,Done,Done,17/Jun/25 8:32 PM,18/Jun/25 11:30 PM,19/Jun/25 12:00 AM
Subtask,SCRUM-10,10009,Creating Redshift Connector ,Shreyash Patel,712020:e4f4db32-97c3-4bb5-94bd-d9c59f3721b2,Shreyash Patel,712020:e4f4db32-97c3-4bb5-94bd-d9c59f3721b2,Medium,Done,Done,17/Jun/25 10:54 PM,18/Jun/25 11:30 PM,
Subtask,SCRUM-7,10006,implementing goldlayer,Shreyash Patel,712020:e4f4db32-97c3-4bb5-94bd-d9c59f3721b2,Shreyash Patel,712020:e4f4db32-97c3-4bb5-94bd-d9c59f3721b2,Medium,Done,Done,17/Jun/25 9:26 PM,18/Jun/25 11:30 PM,
Subtask,SCRUM-6,10005,Implementing silverlayer,Shreyash Patel,712020:e4f4db32-97c3-4bb5-94bd-d9c59f3721b2,Shreyash Patel,712020:e4f4db32-97c3-4bb5-94bd-d9c59f3721b2,Medium,Done,Done,17/Jun/25 8:34 PM,18/Jun/25 9:14 PM,
Subtask,SCRUM-5,10004,implemanting bronzelayer,Shreyash Patel,712020:e4f4db32-97c3-4bb5-94bd-d9c59f3721b2,Shreyash Patel,712020:e4f4db32-97c3-4bb5-94bd-d9c59f3721b2,Medium,Done,Done,17/Jun/25 8:34 PM,17/Jun/25 10:53 PM,
Subtask,SCRUM-9,10008,creating S3 connection for reading input dataset,Shreyash Patel,712020:e4f4db32-97c3-4bb5-94bd-d9c59f3721b2,Shreyash Patel,712020:e4f4db32-97c3-4bb5-94bd-d9c59f3721b2,Medium,Done,Done,17/Jun/25 9:51 PM,17/Jun/25 9:51 PM,
Subtask,SCRUM-3,10002,complete solution document,Shreyash Patel,712020:e4f4db32-97c3-4bb5-94bd-d9c59f3721b2,Shreyash Patel,712020:e4f4db32-97c3-4bb5-94bd-d9c59f3721b2,Medium,Done,Done,17/Jun/25 8:27 PM,17/Jun/25 9:48 PM,
Subtask,SCRUM-2,10001,complete specifications document,Shreyash Patel,712020:e4f4db32-97c3-4bb5-94bd-d9c59f3721b2,Shreyash Patel,712020:e4f4db32-97c3-4bb5-94bd-d9c59f3721b2,Medium,Done,Done,17/Jun/25 8:27 PM,17/Jun/25 8:29 PM,
